waveem,flux
6.288719e+03,2.169249e+00
6.286921e+03,2.133356e+00
6.285123e+03,2.370438e+00
6.283325e+03,2.341494e+00
6.281527e+03,2.277149e+00
6.279729e+03,2.177696e+00
6.277931e+03,2.206967e+00
6.276133e+03,2.384989e+00
6.274335e+03,2.323995e+00
6.272537e+03,2.317767e+00
6.270740e+03,2.170892e+00
6.268942e+03,2.263039e+00
6.267144e+03,2.091115e+00
6.265346e+03,2.149298e+00
6.263548e+03,2.166091e+00
6.261750e+03,2.175980e+00
6.259952e+03,2.000377e+00
6.258154e+03,2.253710e+00
6.256356e+03,2.089878e+00
6.254558e+03,2.143190e+00
6.252760e+03,2.061987e+00
6.250963e+03,2.123973e+00
6.249165e+03,2.233823e+00
6.247367e+03,2.215156e+00
6.245569e+03,2.177557e+00
6.243771e+03,1.986590e+00
6.241973e+03,2.225155e+00
6.240175e+03,2.113023e+00
6.238377e+03,2.158421e+00
6.236579e+03,2.145525e+00
6.234781e+03,2.264516e+00
6.232983e+03,2.144230e+00
6.231185e+03,2.010901e+00
6.229388e+03,2.021379e+00
6.227590e+03,2.235326e+00
6.225792e+03,2.163691e+00
6.223994e+03,2.202201e+00
6.222196e+03,2.156938e+00
6.220398e+03,2.219839e+00
6.218600e+03,2.248696e+00
6.216802e+03,2.117271e+00
6.215004e+03,2.221263e+00
6.213206e+03,2.371840e+00
6.211408e+03,2.193360e+00
6.209611e+03,2.251043e+00
6.207813e+03,2.287925e+00
6.206015e+03,2.261785e+00
6.204217e+03,2.172543e+00
6.202419e+03,2.237421e+00
6.200621e+03,2.313660e+00
6.198823e+03,2.207739e+00
6.197025e+03,2.277056e+00
6.195227e+03,2.205101e+00
6.193429e+03,2.232818e+00
6.191631e+03,2.233576e+00
6.189834e+03,2.187808e+00
6.188036e+03,2.322530e+00
6.186238e+03,2.251681e+00
6.184440e+03,2.253174e+00
6.182642e+03,2.282927e+00
6.180844e+03,2.217820e+00
6.179046e+03,2.154294e+00
6.177248e+03,2.195484e+00
6.175450e+03,2.216904e+00
